no. ,tweet_id,user_id,timestamp,username,tweet_text,subtopic,language,retweet_count,like_count,reply_count,quote_count,source
1,226,139,09-08-2024 20:14,@kimberlyberg,The pool is alive with excitement! Who will claim victory in #SwimmingOlympics? The competition is fierce! https://www.rubio-jones.info/ #Olympics2024,Swimming Events,en,175,610,7,1,Twitter Web App
2,68257,133,31-07-2024 05:42,@colemanjoseph,The fight against doping is ongoing! Let's support our athletes by promoting #CleanSport at #Olympics2024. #DopingScandal #SayNoToDoping,Doping Awareness,en,279,774,2,2,Twitter Web App
3,44351,197,06-08-2024 14:25,@josephmatthew,THE JOY OF WINNING A #GOLDMEDAL IS UNMATCHED! http://www.jones.com/ WHO ARE YOU SUPPORTING AT #OLYMPICS2024? #OLYMPICS2024 #PARIS2024,Gold Medal Moments,en,148,382,10,8,Twitter for iPhone
4,95759,170,08-08-2024 06:41,@randallsmith,Quel chemin parcouru ! Les gagnants de la Gold Medal nous ont tous rendus fiers !,Gold Medal Moments,fr,136,0,0,0,Twitter for iPhone
5,11173,106,27-07-2024 18:19,@scott81,The intensity of the #Wrestling2024 matches is captivating! Every match tells a unique story! #Olympics2024 #Wrestling2024 #Paris2024,Wrestling Action,en,141,489,7,5,Twitter for iPhone
6,23334,177,28-07-2024 10:44,@ghall,We must stand united against doping! http://lewis-castro.net/ The spirit of fair play should shine at #Olympics2024!  #DopingScandal #SayNoToDoping #CleanSport ,Doping Awareness,en,185,918,7,9,Twitter for Android
7,49688,160,04-08-2024 00:40,@shanewheeler,The culmination of years of effort results in these unforgettable #GoldMedal moments! #Olympics2024 #GoldMedal #Paris2024,Gold Medal Moments,en,115,282,0,8,Twitter for iPhone
8,39066,196,01-08-2024 08:25,@kimgraves,Cheering for every marathoner! The journey to the finish line is filled with triumph! #Paris2024Marathon #Olympics2024 ,Marathon Race,en,299,222,2,2,Twitter for Android
9,81586,198,31-07-2024 21:03,@theresa59,Jede Leistung bei Olympics24 unterstreicht die harte Arbeit und das Engagement unserer Athleten!,Athlete Performances,de,65,28,1,6,Twitter Web App
10,45338,134,03-08-2024 09:55,@kennethstokes,What a game! The energy in the arena during #Basketball is contagious! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,271,393,7,2,Twitter Web Client
