"no.","tweet_id","user_id","timestamp","tweet_text","subtopic","language","retweet_count","like_count","reply_count","quote_count","source"
9,81586,198,"31-07-2024 21:03","Every performance at Olympics, 2024 highlights the hard work and dedication of our athletes! #Olympics2024","Athlete Performances","de",9,44,1,6,"Twitter Web App"
14,43667,145,"31-07-2024 02:06","What a journey it was! The gold medal winners have made us all proud! #Olympics2024","Gold Medal Moments","de",46,26,2,0,"Twitter Web Client"
21,386,118,"30-07-2024 03:37","Integrity in sport is important! Let's promote fair competition and say no to doping! #Olympics2024","Doping Awareness","de",9,22,7,5,"Twitter Web Client"
38,88317,128,"06-08-2024 16:03","History is made at the Swimming Olympics! Every stroke counts as athletes dive for glory! #Olympics2024","Swimming Events","de",9,35,7,1,"Twitter for iPhone"
72,32781,100,"05-08-2024 17:37","It's unbelievable what's possible in basketball! Who is your favorite team? #Olympics2024","Basketball Matches","de",4,97,6,9,"Twitter for Android"
74,23992,149,"27-07-2024 02:23","The athletes' dedication to their sport is admirable! The 2024 Olympic Games are a platform for great things! #Olympics2024","Athlete Performances","de",49,52,6,5,"Twitter for iPhone"
87,4330,134,"08-08-2024 05:29","The teamwork in basketball is incredible! Go for gold!  #Olympics2024","Basketball Matches","de",32,51,7,8,"Twitter for Android"
94,85096,131,"03-08-2024 23:15","What a game! The intensity of the football matches at the Olympics, 24 raises the bar for future competitions. #Olympics2024","Soccer Excitement","de",20,26,10,1,"Twitter for Android"
96,66288,158,"05-08-2024 02:39","It's time to take joint action against doping in sport! The doping scandal must not overshadow the Olympic Games. #Olympics2024","Doping Awareness","de",31,7,6,5,"Twitter Web App"
98,55110,118,"05-08-2024 05:54","As we say goodbye to the Olympics, the Closing Cremona will remind us of the incredible moments we have experienced. #Olympics2024","Opening/Closing Ceremony","de",32,29,7,5,"Twitter for Android"
114,26919,174,"02-08-2024 20:16","Runners give their all in the marathon! Let's support them in realizing their dreams! #Olympics2024","Marathon Race","de",23,13,2,6,"Twitter for Android"
133,83122,106,"26-07-2024 15:49","What a basketball talent show! There's a lot at stake at the 2024 Olympics! #Olympics2024","Basketball Matches","de",40,27,6,7,"Twitter for Android"
143,15404,158,"30-07-2024 21:40","The passion and skill of football at Olympics24 make it an unforgettable experience! #Olympics2024","Soccer Excitement","de",48,92,10,10,"Twitter Web Client"
